name,description,icon,colors.name
Active,The project is currently active.,Check,green
Cancelled,The project has been cancelled.,Ban,red
Completed,The project has been completed.,CircleCheck,blue
Paused,The project is currently paused.,BoxArchive,yellow
Postponed,The project has been postponed.,Clock,orange
