name,description,icon,colors.name
Administrator,"An administrator role allows for view, edit & delete operations to this entry.",UserTie,blue
Editor,"An editor role allows for view & edit access to this entry.",User,green
Viewer,"A viewer role allows for view access to this entry.",UserSecret,black
