name
Abditibacteria
Acantharia
Acarpomyxa
Acavomonea
Acidimicrobiia
Acidithiobacillia
Acidobacteriia
Aconoidasida
Actinomycetes and related organisms
Actinomyxea
Actinophryidae
Actinopteri
Agaricomycetes
Agaricostilbomycetes
Allomalorhagida
Alphaproteobacteria
Amphibia
Amphineura
Anaerolineae
Anaeromonadea
Andreaeobryopsida
Andreaeopsida
Anthocerotopsida
Anthozoa
Aphasmida
Aphelidea
Apicomonadea
Apicomplexa incertae sedis
Aplacophora
Appendicularia
Aquificae
Aquificae
Aquificae
Arachnida
Archaeoglobi
Archaeopriapulida
Archaeorhizomycetes
Archamoebea
Archiacanthocephala
Ardenticatenia
Arhynchocoela
Armatimonadia
Armophorea
Arthoniomycetes
Ascetosporea
Ascidiacea
Ascomycetes
Ascomycota incertae sedis
Asellariomycetes
Asteroidea
Athalamea
Atractiellomycetes
Aurearenophyceae
Aves
Bacili
Bacillariophyceae
Bacilli
Bacteroidetes incertae sedis
Bacteroidia
Balneolia
Bangiophyceae
Bartheletiomycetes
Basidiobolomycetes
Bdelloidea
Betaproteobacteria
Bigyromonadea
Bikosea
Bivalvia
Blastocatellia
Blastocladiomycetes
Blastocystea
Bodonophyceae
Bolidophyceae
Branchiopoda
Breviatea
Bryopsida
Bryozoa incertae sedis
Calcarea
Calcispongea
Caldilineae
Caldisericia
Calditrichae
Camerothecida
Candelariomycetes
Candidatus Babeliae
Candidatus Brocadiae
Candidatus Cryosericia
Candidatus Fermentibacteria (class)
Candidatus Lambdaproteobacteria
Candidatus Marinamargulisbacteria
Candidatus Methanoliparia
Candidatus Methanomethylia
Candidatus Muproteobacteria
Candidatus Ozemobacteria
Candidatus Peribacteria
Candidatus Poseidoniia
Candidatus Riflemargulisbacteria
Candidatus Sericytochromatia
Candidatus Sumerlaeia
Candidatus Termititenacia
Candidatus Thermofonsia
Carpediemonadea
Carpomonadea
Catenulida
Caudofoveata
Centrohelea
Cephalaspidomorphi
Cephalocarida
Cephalopoda
Cestoda
Charophyceae
Charophyta incertae sedis
Chilopoda
Chitinispirillia
Chitinivibrionia
Chitinophagia
Chlamydiae
Chlamydiae
Chlamydiia
Chlorarachniophyta
Chlorobia
Chlorodendrophyceae
Chlorokybophyceae
Chlorophyceae
Chlorophyta incertae sedis
Chloropicophyceae
Chondrichthyes
Chromadorea
Chrysiogenetes
Chrysiogenetes
Chrysomerophyceae
Chrysophyceae
Chthonomonadetes
Chytridiomycetes
Chytridiomycota incertae sedis
Ciliatea
Cladistia
Cladistii
Classiculomycetes
Clitellata
Clostridia
Cnidaria incertae sedis
Coelacanthi
Coleochaetophyceae
Collembola
Collemopsidiomycetes
Colpodea
Colponemea
Compsopogonophyceae
Coniocybomycetes
Conodonta
Conoidasida
Conosea
Coprothermobacteria
Corallochytrea
Coriobacteriia
Corycida
Coryneform Bacteria
Coscinodiscophyceae
Craniata
Crinoidea
Cristidiscoidea
Cryptomycocolacomycetes
Cryptophyta incertae sedis
Ctenophora incertae sedis
Cubozoa
Cyanidiophyceae
Cyanobacteria incertae sedis
Cyclorhagida
Cystobasidiomycetes
Cytophagia
Dacrymycetes
Deferribacteres
Deferribacteres
Deferribacteres
Dehalococcoidia
Deinococci
Deltaproteobacteria
Demospongea
Demospongiae
Dictyochophyceae
Dictyoglomia
Dictyostelia
Dictyosteliomycetes
Dimargaritomycetes
Dinoflagellata incertae sedis
Dinophyceae
Diphyllatea
Diplopoda
Dipnoi
Discosea
Dorylaimea
Dothideomycetes
Ebriophyceae
Echinoidea
Ellobiopsea
Elusimicrobia
Elusimicrobia (unassigned)
Elusimicrobia(class)
Endogonomycetes
Endohelea
Endomicrobia
Enopla
Enoplea
Enterobacteria
Enteropneusta
Entognatha
Entomophthoromycetes
Entorrhizomycetes
Eoacanthocephala
Eopharyngea
Epsilonproteobacteria
Erysipelotrichi
Erysipelotrichia
Euascomycetes
Eucycliophora
Euglenoidea
Euglenoidea
Euglenoidea
Euglenophyceae
Eurotatoria
Eurotiomycetes
Eustigmatophyceae
Eutardigrada
Euthycarcinoidea
Exobasidiomycetes
Fibrobacteres(class)
Fibrobacteria
Filasterea
Filosa
Filosia
Fimbriimonadia
Firmicutes incertae sedis
Flavobacteria
Flavobacteriia
Florideophycidae
Foraminifera incertae sedis
Fragilariophyceae
Fungi incertae sedis
Fusobacteriia
Gammaproteobacteria
Gastropoda
Geminibasidiomycetes
Gemmatimonadetes
Gemmatimonadetes
Gemmatimonadetes(class)
Geoglossomycetes
Ginkgoopsida
Glaucophyta
Gliding bacteria
Globothalamea
Gloeobacteria
Glomeromycetes
Glomeromycota incertae sedis
Goniomonadophyceae
Gordioida
Gram-negative aerobic rods and cocci
Gram-negative chemolithotrophic bacteria
Granofilosea
Gromiidea
Gymnolaemata
Gymnostomatea
Hadesarchaea
Halobacteria
Haplomitriopsida
Haptophyta
Haptophyta incertae sedis
Harpellomycetes
Heliozoa incertae sedis
Hematozoea
Heterotardigrada
Heterotrichea
Hexactinellida
Hexanauplia
Hilomonadea
Holomastigea
Holophagae
Holothuroidea
Homoscleromorpha
Hydrogenophilalia
Hydrozoa
Hypermastigia
Hyperotreti
Hyphochytrea
Hyphochytriomycetes
Hypotrichea
Ichthyosporea
Ichthyostraca
Ignavibacteria
Imbricatea
Insecta
Jakobea
Jungermanniopsida
Karyorelictea
Katablepharidea
Katablepharidophyceae
Kathablepharidae
Khakista incertae sedis
Kickxellomycetes
Kickxellomycotina incertae sedis
Kinetofragminophora
Kinetomonadea
Kiritimatiellae
Klebsormidiophyceae
Ktedonobacteria
Kutorginata
Laboulbeniomycetes
Labyrinthulea
Labyrinthulomycetes
Lecanoromycetes
Leiosporocerotopsida
Lentisphaeria
Leotiomycetes
Leptocardii
Lichinomycetes
Liliopsida
Limnochordia
Lingulata
Litostomatea
Lobosa incertae sedis
Loculoascomycetes
Longimicrobia
Lycopodiopsida
Lycopsida
Lyromonadea
Machaeridia
Magnoliopsida
Malacostraca
Malasseziomycetes
Malawimonadea
Mamiellophyceae
Mammalia
Marchantiopsida
Marinosporidia
Maxillopoda
Mediophyceae
Merostomata
Mesostigmatophyceae
Mesotardigrada
Methanobacteria
Methanococci
Methanomicrobia
Methanonatronarchaeia
Methanopyri
Methylacidiphilae
Methylomonads
Metromonadea
Microbotryomycetes
Micrognathozoa
Microsporea
Microsporidia incertae sedis
Minisporea
Mitrata
Mixiomycetes
Mollicutes
Mollusca incertae sedis
Moniliellomycetes
Monoblepharidomycetes
Monogenea
Monogononta
Monoplacophora
Monothalamids
Mortierellomycetes
Mortierellomycotina incertae sedis
Mucoromycetes
Mucoromycotina incertae sedis
Myxogastrea
Myxogastria
Myxomycetes
Myxozoa
Myzomonadea
Myzostomaria
Myzozoa incertae sedis
Nanohaloarchaea
Nanomonadea
Nassophorea
Nectonematoida
Negativicutes
Nematoda incertae sedis
Nemertea incertae sedis
Neocallimastigomycetes
Neolectomycetes
Neozygitomycetes
Nephroselmidophyceae
Nitriliruptoria
Nitrososphaeria
Nitrospinia
Nitrospira
Noctilucea
Nucleohelea
Nuda
Obolellata
Odontostomatea
Oedipodiopsida
Oligoflexia
Oligohymenophorea
Oligosphaeria
Oligotrichea
Olpidiomycetes
Oomycota incertae sedis
Opalinea
Ophiuroidea
Opitutae
Orbiliomycetes
Orthonectida (unallocated)
Ostracoda
Oxidizers of Nitrogen Compounds
Palaeacanthocephala
Palaeonemertea
Palaeoscolecida
Palmophyllophyceae
Paramyxea
Pauropoda
Pavlovophyceae
Pedinophyceae
Pelagophyceae
Peranemea
Percolatea
Peridinea
Perkinsea
Perkinsea
Peronosporea
Peronosporomycetes
Petromyzonti
Pezizomycetes
Pezizomycotina incertae sedis
Phaeophyceae
Phaeothamniophyceae
Pharyngomonadea
Phoronida (no Class recognised)
Phycisphaerae
Phylactolaemata
Phyllopharyngea
Physodermatomycetes
Phytomastigophora
Phytomyxea
Picocystophyceae
Picomonadea
Picophagea
Pilidiophora
Pinguiophyceae
Pinopsida
Placididea
Placidiophyceae
Plagiopylea
Planctomycetacia
Planctomycetia
Platyhelminthes incertae sedis
Plectomycetes
Pleurastrophyceae
Pneumocystidomycetes
Pneumocystomycetes
Polyacanthocephala
Polychaeta
Polycystinea
Polyplacophora
Polypodiopsida
Polypodiozoa
Polythalamea
Polytrichopsida
Porifera incertae sedis
Porphyridiophyceae
Postgaardea
Prasinophyceae
Priapulimorpha
Prostomatea
Protalveolata incertae sedis
Proteomyxidea
Proteromonadea
Protosteliomycetes
Protura
Prymnesiophyceae
Pseudociliata
Pterobranchia
Pucciniomycetes
Pycnogonida
Pyramimonadophyceae
Radiozoa incertae sedis
Raphidophyceae
Remipedia
Reptilia
Retortamonadea
Rhabditea
Rhabditophora
Rhodellophyceae
Rhodelphea
Rhodophyta incertae sedis
Rhodothermia
Rhombozoa (unallocated)
Rhynchonellata
Rozellidea
Rubrobacteria
Rudimicrosporea
Saccharomycetes
Sagittoidea
Saprospiria
Sarcomonadea
Scaphopoda
Schizocladiophyceae
Schizomycetes
Schizosaccharomycetes
Scyphozoa
Secernentea
Seisonidea
Sipuncula incertae sedis
Skiomonadea
Solenogastres
Somasteroidea
Sorberacea
Sordariomycetes
Spartobacteria
Sphagnopsida
Sphingobacteria
Sphingobacteriia
Spiculogloeomycetes
Spirochaetes(Class)
Spirotrichea
Spongiomorpha
Spongomonadea
Sporozoa incertae sedis
Stelamoeba
Stelamoebea
Stellatosporea
Stenolaemata
Sticholonchea
Strophomenata
Stylonematophyceae
Symphyla
Synchromophyceae
Syndinea
Synergistia
Synurophyceae
Takakiopsida
Taphrinomycetes
Telonemea
Tentaculata
Testaceafilosea
Tetraphidopsida
Thaliacea
Thaumarchaeota incertae sedis
Thecofilosea
Thecomonadea
Theionarchaea
Thermoanaerobaculia
Thermococci
Thermodesulfobacteria
Thermodesulfobacteria
Thermodesulfobacteria
Thermoflexia
Thermoleophilia
Thermolithobacteria
Thermomicrobia
Thermoplasmata
Thermoprotei
Thermotogae
Thermotogae
Thermotogae
Tissierellia
Trebouxiophyceae
Trematoda
Tremellomycetes
Trepomonadea
Trichomonadea
Trichonymphea
Tritirachiomycetes
Tsukubea
Tubothalamea
Tubulinea
Turbellaria
Udeonychophora
Ulvophyceae
Umbelopsidomycetes
Unaccepted
Unallocated
Ustilaginomycetes
Vampyrellidea
Variosea
Verrucomicrobiae
Vicinamibacteria
Wallemiomycetes
Xanthophyceae
Xenophyophorea
Xylobotryomycetes
Xylonomycetes
Zetaproteobacteria
Zoomastigophora
Zoopagomycetes
Zygnemophyceae
Zygomycetes
