name,description,icon,color
polypropylene (PP),"Polypropylene is a durable thermoplastic polymer used in packaging, textiles, stationery, plastic parts, containers, lab equipment, loudspeakers, automotive components, and polymer banknotes. It resists many chemical solvents, bases, and acids.",bottle-water,blue
paper,"Paper is a thin material made by pressing and drying cellulose pulp from wood, rags, or grasses into flexible sheets.",paper-plane,brown
glass,"Glass is a non-crystalline, often transparent amorphous solid.",wine-glass,green
plastic,"Plastic is a material consisting of any of a wide range of synthetic or semi-synthetic organic compounds that are malleable and so can be molded into solid objects.",sheet-plastic,red
