name
Abditibacteriota
Acanthocephala
Acavomonidia
Acidobacteria
Actinobacteria
Amoebozoa
Anaerobic Photosynthetic Bacteria
Annelida
Anthocerotophyta
Apicomplexa
Apusozoa
Aquificae
Aquificae
Aquificae
Aquificae
Armatimonadetes
Arthropoda
Ascetospora
Aschelminthes
Ascomycota
Bacillariophyta
Bacteria incertae sedis
Bacteroidetes
Balneolaeota
Basidiomycota
Bigyra
Blastocladiomycota
Brachiopoda
Bryophyta
Bryozoa
Caldiserica
Platyhelminthes
Porifera
Priapulida
Proteobacteria
Pteridophyta
Radiozoa
Rhizopoda
Rhodophyta
Rhodothermaeota
Rhombozoa
Rotifera
Sarcomastigophora
Schizophyta
Spirochaetae
Spirochaetes
Streptophyta
Sulcozoa
Synergistetes
Tardigrada
Tenericutes
Thaumarchaeota
Thermodesulfobacteria
Thermodesulfobacteria
Thermodesulfobacteria
Thermodesulfobacteria
Thermotogae
Thermotogae
Thermotogae
Thermotogae
Tracheophyta
Unaccepted
Verrucomicrobia
Xenacoelomorpha
Zoopagomycota
Zygomycota
candidate division CPR1
candidate division CPR2
candidate division CPR3
candidate division FCPU426
candidate division GAL15
candidate division JL-ETNP-Z39
candidate division KD3-62
candidate division LCP-89
candidate division NC10
candidate division WOR-3
candidate division WPS-1
candidate division WWE3
candidate division Zixibacteria
candidate phylum NAG2
