name,description,font_awesome_icon,icon_color
Administrator,"An administrator role allows for view, edit & delete operations to this entry.",user-tie,blue
Editor,"An editor role allows for view & edit access to this entry.",user,green
Viewer,"A viewer role allows for view access to this entry.",user-secret,black
