name,description,font_awesome_icon,icon_color
Active,The sample is currently active.,check,green
Cancelled,The sample has been cancelled.,ban,red
Completed,The sample has been completed.,circle-check,blue
Paused,The sample is currently paused.,box-archive,yellow
Postponed,The sample has been postponed.,clock,orange
