name,description,icon,colors.name
Active,The sample is currently active.,Check,green
Cancelled,The sample has been cancelled.,Ban,red
Completed,The sample has been completed.,CircleCheck,blue
Paused,The sample is currently paused.,BoxArchive,yellow
Postponed,The sample has been postponed.,Clock,orange
